client_name,client_version,client_previous_version,client_timestamp,client_previous_timestamp,dependency_name,dependency_version_range,dependency_previous_version_range,dependency_resolved_version,dependency_previous_resolved_version,resources_client, first_round_codes,codes,causes,how_downgrade,quotes
web-component-shards,1.1.3,1.1.2,2015-10-20T03:02:13.541Z,2015-10-20T03:00:14.209Z,es6-promise,^2.1.0,^3.0.2,2.3.0,3.0.2,https://github.com/googlearchive/web-component-shards/commit/242d376035b30428e6464f5755359fe21d25c4b7#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"change specific provider, keep range operator, change versioning number",No specific factor,,"Change single dependency, Choose specific range",
mongo-object,0.0.2,0.0.1,2017-06-01T02:38:21.305Z,2016-03-06T23:57:52.668Z,babel-preset-stage-0,6.3.13,^6.3.13,6.3.13,6.5.0,https://github.com/aldeed/node-mongo-object/commit/02227594b62a844b00746d5bb43612b8bbf00667,"remove range operator, change batch of dependencies once, downgrading when adding new provider",Add new provider(s),,,
angular-devtrw-translate,0.1.3,0.1.2,2015-05-24T08:19:03.599Z,2015-05-08T22:38:03.079Z,webpack,1.8.10,^1.8.10,1.8.10,1.8.11,https://github.com/devtrw/angular-devtrw-translate/commit/1701c50677fec7461e6236c3441eb26ae06b4972,"remove range operator, change batch of dependencies once, downgrading when adding new provider","Add new provider(s), Add new feature",,,"""Creates a dtrwTranslate service with a method that prefaces a provided translation key with the configured base key and the expected state prefix."""
urllib,2.11.0,2.10.0,2016-06-26T08:52:51.948Z,2016-06-21T07:22:39.528Z,tar,2,^2.2.1,2.0.0,2.2.1,https://github.com/node-modules/urllib/pull/103,"breaking change, change specific provider, change range operator, recommended by bot",Recover from breaking change,"Breaking change, Build-time breaking change, Bot recommendation",,"""tar@2.2.1 breaks build"""
witheve,0.3.0-preview4,0.3.0-preview3,2017-05-27T01:40:42.059Z,2017-05-27T00:15:03.777Z,chevrotain,0.28.2,^0.28.1,0.28.2,0.28.3,"https://github.com/witheve/Eve/commit/db38f742c6000c833280c96cb29b3715017a2497#diff-b9cfc7f2cdf78a7f4b91a753d10865a2, https://github.com/witheve/Eve/commit/f90bca723bcff70e22def83ea65e42ee7298edfb#diff-b9cfc7f2cdf78a7f4b91a753d10865a2","hotfix, choose specific provider, chossoe specific provider version","Remove/modify feature, Specify provider to downgrade","Breaking change, Run-time breaking change",,"""Hotfix: use tokenMatcher from chevrotain to determine tokenType”, ""The way tokens are exposed seems to have changed fundamentally, which broke parsing.”, ""bump version for hotfix”"
multi-entry-webpack-starter,1.0.9,1.0.8,2017-05-02T03:27:16.688Z,2017-05-02T03:09:04.997Z,express,4.14.0,~4.14.0,4.14.0,4.14.1,https://github.com/cfansimon/multi-entry-webpack-starter/commit/c8056cb2b6c3e1e48f128f28f56dc0888bd1fb1e#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"remove range operator, change batch of dependencies once, fix",Fix unspecified issue,,"Change batch of providers, Remove operator, Choose specific version for a single provider","“fix"""
jsreport,0.3.0,0.2.10,2015-03-30T16:24:20.816Z,2015-03-08T15:54:11.447Z,proxyquire,1.3.1,*,1.3.1,1.4.0,https://github.com/jsreport/jsreport/commit/8de2c54ec35470618e47c25bb04212182ef5ab11,"fix, fix warning message from dependency, large change, choose specific provider version, change batch of dependencies once","Add new provider(s), Add new feature, Fix warning message, Change configuration",Unexpected behaviour,,"""Should be empty: [] is just a harmless message coming from one of the libraries. I plan to replace the library in the future but please ignore the message for now."""
mysqlutil,0.1.19,0.1.18,2014-03-08T01:18:21.049Z,2014-03-08T01:02:17.404Z,mysql,~2.0.0-alpha9,^2.1.0,2.0.1,2.1.0,https://github.com/Mindflash/mysqlutil/commit/a497896a8a266a0a864aa8c3a71d15c789edf465,"developer is confused after upgrade of provider, provider behaviour is different after upgrafde, frustration, choose specific provider, choose specific version",Fix unspecified issue,Unexpected behaviour,Change single dependency,"""Gee I wonder what changed in node-mysql 2.1.0 :("""
runtypes,0.6.3,0.6.2,2017-02-23T22:23:22.159Z,2017-02-05T18:51:39.835Z,typescript,2.1.6,^2.1.5,2.1.6,2.2.0,https://github.com/pelotom/runtypes/commit/778b5a33c892d65d11ea3026fe64d4ab00cad4c1,"incompatibility, breaking change, change specific provider, change range operator","Fix incompatibility, Recover from breaking change, Specify provider to downgrade","Breaking change, Run-time breaking change",Change single dependency,"""Freeze at typescript 2.1.6 since 2.2.1 has some backwards-incompatible changes"""
watch-glob,0.1.3,0.1.2,2014-05-02T14:37:24.621Z,2014-05-02T13:38:53.577Z,gaze,~0.5.0,~0.6.0,0.5.1,0.6.4,https://github.com/digisfera/node-watch-glob/commit/0331444d368866c7c796155a46e49ad4ee32040d,"remove range operator, choose specific provider, no specific reason",Specify provider to downgrade,,Change single dependency,"""Revert gaze to 0.5"""
jsreport-studio,1.0.5,1.0.4,2016-06-23T07:03:48.938Z,2016-06-21T09:16:21.827Z,html-webpack-plugin,2.17.0,2.21.0,2.17.0,2.21.0,https://github.com/jsreport/jsreport-studio/commit/50176b5b7426a912937618b3a32dce66fba1e872,"change batch of dependencies once, choose specific version of provider",Add new feature,,,"""support for running on subpath”"
node-dota-api,1.0.0,0.2.4,2016-09-15T05:30:39.013Z,2016-06-30T04:16:02.760Z,cheerio,~0.20.0,latest,0.20.0,0.21.0,https://github.com/ammuench/node-dota-api/commit/56f50f1407be66e7ebffb473edc952be6f2355fa#diff-b9cfc7f2cdf78a7f4b91a753d10865a2,"from latest to tight version range, change batch of dependencies once",Add new feature,,,"""Update to opendota since yasp is being phased out. Add gameLength and…
… gameType to matches objects. Add daysSinceLastMatch value. Expand status codes. Add total games played value to winLoss object. Lock version in package.json"""
wunderbits.db,1.0.0,0.0.0,2015-03-20T23:34:03.346Z,2015-03-20T23:31:38.037Z,karma,0.12.23,^0.12.2,0.12.23,0.12.32,https://github.com/wunderlist/wunderbits.db/commit/1dfad5ef4aefc458181f56e9ee66f7a1a132c714,"choose specific version, change batch of providers at once","Add new provider(s), Change providers with same prefix on name, Remove/modify feature","Incompatibilities, Other providers",,"""lock dependencies so specs run"""
zerorest,0.8.4,0.8.3,2015-12-02T02:36:15.992Z,2015-12-01T23:50:10.391Z,pigato,0.0.42,0.0.43,0.0.42,0.0.43,https://github.com/chuej/zerorest/commit/9ddee4e65891349d69eb57e893a5fa7bb957868e,"choose specific provider, choose specific target version",Specify provider to downgrade,,,"""0.8.4, downgrade pigato"""
ng2-charts,1.1.0,1.0.3,2016-05-17T13:42:10.665Z,2016-04-15T14:40:04.058Z,reflect-metadata,0.1.2,0.1.3,0.1.2,0.1.3,https://github.com/valor-software/ng2-charts/commit/8ba96ff6462299cfe4e26dd7286bbd803ffa542a,"choose specific provider, choose specific target version",No specific factor,,,
pancakes-recipe,0.1.134,0.1.133,2016-01-14T17:35:59.102Z,2016-01-14T15:24:22.758Z,yar,5.0.1,^6.0.0,5.0.1,6.0.0,https://github.com/gethuman/pancakes-recipe/commit/8fdbfa09ce893157efb77337f4542107706c77d4,"choose specific provider, choose specific target version",Specify provider to downgrade,,,"""downgrading yar and hapi auth"""
meetup-web-platform,2.0.888-beta,2.0.883-beta,2017-03-27T16:15:26.459Z,2017-03-24T08:25:50.005Z,url-regex,3.2.0,4.0.0,3.2.0,4.0.0,"https://github.com/meetup/meetup-web-platform/commit/d396327fb13cdb70d6da1fdacc4d0abf77d98665, https://github.com/meetup/meetup-web-platform/pull/147","choose specific provider, choose specific target version",Fix browser issue,"Breaking change, Run-time breaking change",,"""downgrade url-regex to v3.2.0”, ”to fix Safari and IE”"
attester,2.0.1,2.0.0,2014-11-13T10:46:32.900Z,2014-11-13T10:02:48.558Z,colors,0.6.2,1.0.3,0.6.2,1.0.3,https://github.com/attester/attester/commit/f6242bae1d3d13e835df1b620c0cceb674adc3ee,"choose specific provider, choose specific target version","Remove/modify feature, Specify provider to downgrade",Unexpected behaviour,,"""Switching back to colors v0.6.2 (so that colors can be disabled easily)."""
nativescript-media-generator,0.1.0-2,0.1.0-1,2016-12-09T06:35:51.068Z,2016-12-09T06:34:44.101Z,phantomjs,^1.9.20,^2.1.7,1.9.20,2.1.7,https://github.com/hypery2k/nativescript-media-generator/commit/0605562caf7d35713c2091c494406d0652227358,"choose specific provider, choose specific target version","Remove some provider(s), Add new feature",,,"""chore(code-quality): Enable eslint"""
bolt-permissions,1.0.4,1.0.3,2015-11-12T06:05:04.846Z,2015-11-02T17:16:55.968Z,grunt-babel,5.0.3,6.0.0,5.0.3,6.0.0,https://github.com/dudeee/dude-permissions/commit/38a6afa140d8ece75d1efb65ea73f754dfdcfab1,"choose specific provider, choose specific target version","Change providers with same prefix on name, Specify provider to downgrade",,,"""chore: downgrade to babel5"""
generator-project-esnow,0.0.11,0.0.10,2015-06-14T15:03:11.987Z,2015-04-23T12:03:46.173Z,semver,4.3.2,^4.3.0,4.3.2,4.3.3,https://github.com/rochejul/generator-project-esnow/commit/91b803c1596fda83a91414273dff5eb3ea2adbf4,"choose specific provider, choose specific target version","Change configuration, Fix build, Specify provider to downgrade",,,"""Fixing travis configuration and semver version"""
soajs.dashboard,0.4.0,0.3.13,2016-12-05T18:07:43.321Z,2016-07-29T15:31:53.910Z,async,1.5.2,*,1.5.2,2.0.1,https://github.com/soajs/soajs.dashboard/commit/2665609f57390abfdb187ee4ab696768970c9ba5,"choose specific provider, choose specific target version",Specify provider to downgrade,,,"""SOAJ-368: locked async version to 1.5.2"""
rihandjs,0.0.7,0.0.6,2017-03-10T17:32:11.827Z,2017-03-09T16:37:03.600Z,mongoose,4.5.8,4.8.1,4.5.8,4.8.1,https://github.com/gauravtiwari5050/rihandjs/commit/d06692b9f4416c9851b04f6780dd38edec57e25a,"choose specific provider, choose specific target version","Temporary change, Specify provider to downgrade, Remove/modify feature",,,"""disbale connect assets temporarily"""
sails,1.0.0-6,1.0.0-5,2016-10-27T17:51:26.291Z,2016-09-28T18:58:20.350Z,semver,4.3.6,5.1.0,4.3.6,5.1.0,https://github.com/balderdashy/sails/commit/319bdaf6758f4f6fae243b408d9f83bd0746736a,"choose specific provider, choose specific target version",Specify provider to downgrade,"Incompatibilities, Other providers",,"""Normalize async/commander/semver deps."""
wix-gruntfile,0.1.444,0.1.443,2016-03-20T08:01:32.385Z,2016-03-20T07:40:17.863Z,protractor,3.0.0,^3.0.0,3.0.0,3.2.1,https://github.com/wix/wix-gruntfile/commit/98d8414d787cd2b060f91cd58cfa6dc440c75a0b,"choose specific provider, choose specific target version",No specific factor,,,"""Update package.json"""
scalejs.metadatafactory-common,1.0.31,1.0.30,2016-07-08T18:32:30.285Z,2016-07-08T17:52:32.308Z,jquery-ui,1.10.5,^1.10.5,1.10.5,1.12.0,https://github.com/EikosPartners/scalejs.metadataFactory-common/commit/381e62fcbc5cc09d081f03aa08c0693f3f4cd0fc,"choose specific provider, choose specific target version",Specify provider to downgrade,,,"""keep jquery-ui to 1.10.5"""
angular-suite-flipper,3.0.0,2.0.3,2015-12-18T14:19:23.480Z,2015-12-14T05:21:16.068Z,ng1-decorators,1.0.4,2.0.0,1.0.4,2.0.0,https://github.com/emartech/angular-suite-flipper/commit/e40993ee82119558db8b206143465ceceee63614,"choose specific provider, choose specific target version",Specify provider to downgrade,,,"""chore(npm): ng1 decorators to 1.0.4"""
sand-gcloud,1.2.5,1.2.4,2016-05-21T23:57:20.428Z,2016-05-21T22:23:48.561Z,gcloud,=0.32.0,=0.34.0,0.32.0,0.34.0,https://github.com/pocketly/sand-gcloud/commit/841c9858f9e46858b7c3e39ebd3441bb33c55c5f,"choose specific provider, choose specific target version",Specify provider to downgrade,,,"""downgraded gcloud to 0.32.0"""
generator-sass-library,0.2.0,0.1.1,2014-11-02T06:51:12.702Z,2014-10-15T07:20:27.415Z,yeoman-generator,0.17.0,^0.17.0,0.17.0,0.17.7,https://github.com/matiassingers/generator-sass-library/commit/a67ee053b8856b19af6726f6ff638616beb3d525,"choose specific provider, choose specific target version",Specify provider to downgrade,,,"""Update yeoman-generator to v0.17.7"""
react-conventions,0.72.0,0.71.0,2016-11-15T23:15:55.397Z,2016-11-11T13:10:50.131Z,chai,~3.2.0,^3.2.0,3.2.0,3.5.0,https://github.com/GetAmbassador/react-ions/commit/822b9f7ff0330121c072f1576365e5beee396703,"change ^ by ~, change batch of providers at once",Change providers with same prefix on name,,,"""[#131100595] Use ~ instead of ^ for package versions"""
hudson-taylor,5.3.2,5.3.1,2015-06-04T13:12:46.706Z,2015-05-31T08:59:07.194Z,mocha,~2.1.0,^2.1.0,2.1.0,2.2.5,https://github.com/hudson-taylor/hudson-taylor/commit/d587db5c1fd07620c0d5997965fff9ef109b420d,"change ^ by ~, change batch of providers at once",No specific factor,,,bump version”
earthquake-list-widget,0.1.2,0.1.1,2017-03-07T00:27:37.808Z,2015-11-08T23:10:56.892Z,grunt-contrib-compass,1.0.1,^1.0.1,1.0.1,1.0.4,https://github.com/usgs/earthquake-list-widget/commit/005c11e6c112e6ce5238dc4e7a2e3af541b6b4ae,"change ^ by ~, change batch of providers at once",No specific factor,,,"""Lock in old versions in package.json"""
nitro,1.12.16,1.12.15,2017-01-25T02:50:41.419Z,2017-01-25T02:36:53.615Z,js-yaml,~3.6.1,^3.6.1,3.6.1,3.7.0,https://github.com/nitrojs/nitro/commit/8732dcf7ad90fc1c4a57082fa270f47493acc635,"change ^ by ~, change batch of providers at once",Add new feature,,,
classeur,0.18.0,0.17.0,2016-01-12T22:45:38.420Z,2015-12-14T22:24:49.457Z,serve-static,~1.8.1,^1.8.1,1.8.1,1.10.0,https://github.com/classeur/classeur/commit/200bce8f0b4621018d26c7069c4b80b314faf361,"change ^ by ~, change batch of providers at once",Remove some provider(s),,,"""Prepare release”"
seneca-transport,0.6.0,0.2.6,2015-01-12T15:34:03.130Z,2014-09-15T18:34:10.497Z,connect-timeout,~1.1.1,^1.1.1,1.1.1,1.3.0,https://github.com/senecajs/seneca-transport/commit/40fb7a4468a7b9377db23d3facc4d67ab2cfa051,"change ^ by ~, change batch of providers at once",No specific factor,,,"“0.6.0-rc0"""
mysql-querier,0.1.4,0.1.3,2015-08-24T07:11:26.327Z,2015-06-08T05:48:34.507Z,gulp,3.8.11,^3.8.11,3.8.11,3.9.0,https://github.com/jysperm/mysql-querier/commit/60f9717f2b119659969e926bb7ae0f866b520601,"change batch of providers at once, remove operator",Fix bug,,,"""Fixbug about datetime"""
quick-editor,0.0.2,0.0.1,2016-05-03T15:36:32.926Z,2016-05-03T15:32:58.142Z,reflect-metadata,0.1.2,^0.1.2,0.1.2,0.1.3,https://github.com/lw0110/quick-editor/commit/1f664925c60c37bde50b343d24873cbf5adbc8bc,"remove range oprator, choose specific providers",Change configuration,,,
